TweetID,Vertex1,Vertex2,Sentiment1,Date,Tweet
5000,dave_dhava,jiocare,Negative,11-May-17, @Vodafone won't not let me port to @JioCare for no reason. My second attempt and I don't know what to do. Agents are no good. 
5001,dineshcrazy9,jiocare,Negative,05-Mar-21, @jiocare Jio internet services depressing. 
5002,prateekkrch,jiocare,Negative,08-Mar-21,"@jiocare #jiofraud, no action in my complaint, my amount of recharge got wasted, return my money"
5003,sultanlatif,jiocare,Negative,06-Feb-21,@jiocare Was recharging for Jio 999 plan. When showed failed tried again & found it got recharged twice. Tried calling customer care but ended up with answering machine. I need a refund
5004,sultanlatif,jiocare,Negative,16-Feb-21,"@jiocare It's been officially 10 days. Yet, no proper response"
5005,sultanlatif,jiocare,Negative,09-Feb-21,@jiocare absolutely no response! Was that a mere consolation? 
5006,sultanlatif,jiocare,Negative,16-Feb-21,"@jiocare If you resolve the current issue, it shall let me recharge this other Jio number that I have"
5007,@chandni_mami,@Airtel_Presence,Negative,21-Apr-21,4G has not been given any attention although I get 250GB data every month. No network since yesterday evening. Hello @Airtel_Presence . I have my Airtel no attached to all accounts hence couldn't get transactions done due to OTP unavailable.
5008,@chandni_mami,@Airtel_Presence,Neutral,07-Jan-21,"@airtelindia @Airtel_Presence . It has been 2 days since no network in my location. Could you please please look into. My location ""Block Development Office, Koida""."
5009,@mithurana103,@ViCustomerCare,Negative,22-Apr-21,"my no.9527567454 is having no network since last week. Vi store is asking to contact customer care & they r saying, we cannot resolve contact to Vi store (both r playing passing the parcel).Plz help, connect with me on 9304049878."
5010,@Guptanchaankush,@ViCustomerCare,Neutral,22-Apr-21,"Hey, my outgoing js bared for some reason, please check and fix this issue ASAP"
5011,@mitulmaity,@ViCustomerCare,Negative,22-Apr-21,I want to port my number. please register my request as I can't able to send SMS from your poor network.
5012,@jayasaicharan,jiocare,Negative,22-Apr-21,What I have used data is 488mb as per my data monitor But in  @reliancejio app says I used half of my data What's happening here @jiocare @RelJio4g @Vivo_India
5013,@amitenggs,jiocare,Negative,22-Apr-21," @jiocare, why are you not refunding security deposit for +911179626429. I have been following up with you guys since one and half month. do you rob all customers like this?"
5014,@manik1234578,jiocare,Negative,22-Apr-21,What's the status of my complaint. SR000014NSKF Raised this complaint on 15th . Still internet not working 
5015,@He63342898,jiocare,Negative,22-Apr-21,your network sucks. @reliancejio
5016,@Ashishk_sid,jiocare,Neutral,22-Apr-21,@JioCare I just want to know that JioFiber is available near me or not... I'm facing many problems due to lack of high speed internet. Help us My location:- Adarsh Baudh Inter College
5017,@Amitsss15,jiocare,Negative,11-Apr-21,pls check ur high-speed internet.. After getting charged for 4G. I m not getting even a speed of 2G. @reliancejio
5018,@vaibhavsanwaria,jiocare,Negative,22-Apr-21,Have been trying to get my jio fiber connection (paid on 17th April) activated for 6 days now. Pathetic support & resolution from the team & only false claims being made. Incorrect installation done (connected to old airtel wire). Now engineer saying to do wiring on own @jiocare
5019,@fateh_altaf,jiocare,Neutral,22-Apr-21,by mistake I recharged twice can I get a refund for the second recharge 7019685113 is my primary number @jiocare
5020,bhavna12244462,jiocare,Negative,22-Apr-21,"Hey, I’m facing problem with slow internet connection. I just complained and they replied me that “ so many people are using Internet on same time “ can someone tell me is this the right excuse to give your costumer. @reliancejio"
5021,@imVishalPra,jiocare,Negative,22-Apr-21,now it's almost 16hours without network don't know what's happening with jio 
5022,@DILIPKUMAR9990,jiocare,Positive,22-Apr-21,"We will be glad to have you as a member of the Jio family. Please DM your full name, number to be ported, email address, state and PIN code to assist you further – Gurbinder"
5023,@NILESHGOPALE,jiocare,Neutral,22-Apr-21,"Dear Team, I am from Chikhalgaon ,Dist: pune, tal: rajgurunagar, maharashtra. Jio tower has installed since january in our village but it has not started yet. We have asked technician that when it will be started but we are getting lame answers. Kindly intervene."
5024,@BihaniMadhur,jiocare,Neutral,22-Apr-21,"Order number: NO0000H5LWOX New connection request for Jiofiber. Amit Gupta from Jio-Jaipur had issued me a new connection of Fiber. After making payment, he has stopped receiving my calls and no one has come for installation since last 7 days. Pls respond! @jiocare"
5025,@nikhilshisode,jiocare,Neutral,22-Apr-21,when is jio fiber expanding in PCMC? Can you please provide a estimated date. A humble request please make it early as possible!
